frequency,FFTpower
18.93613,9.19E-10
18.98359,2.64E-09
19.03105,5.92E-10
19.07851,2.53E-08
19.12596,2.05E-09
19.17342,2.31E-09
19.22088,2.42E-09
19.26834,6.37E-09
19.3158,2.98E-09
19.36326,1.09E-08
19.41072,6.92E-10
19.45818,1.47E-08
19.50564,1.44E-09
19.55309,3.37E-09
19.60055,1.09E-08
19.64801,1.01E-08
19.69547,1.80E-08
19.74293,3.67E-09
19.79039,2.82E-09
19.83785,6.09E-09
19.88531,3.48E-09
19.93277,2.87E-08
19.98023,9.67E-09
20.02768,1.83E-09
20.07514,1.75E-09
20.1226,5.93E-09
20.17006,1.15E-08
20.21752,4.56E-09
20.26498,9.63E-09
20.31244,7.36E-09
20.3599,1.27E-08
20.40736,1.14E-08
20.45482,4.12E-09
20.50227,9.79E-09
20.54973,1.02E-09
20.59719,6.02E-09
20.64465,1.03E-09
20.69211,1.28E-08
20.73957,5.17E-09
20.78703,5.67E-09
20.83449,8.10E-09
20.88195,1.06E-08
20.9294,3.30E-10
20.97686,5.90E-09
21.02432,4.56E-10
21.07178,3.35E-09
21.11924,4.58E-09
21.1667,3.74E-09
21.21416,7.03E-09
21.26162,1.85E-09
21.30908,8.84E-09
21.35654,8.09E-09
21.40399,4.89E-09
21.45145,5.62E-09
21.49891,5.79E-09
21.54637,1.31E-08
21.59383,1.17E-09
21.64129,1.80E-08
21.68875,6.09E-10
21.73621,3.57E-09
21.78367,1.34E-08
21.83113,5.80E-09
21.87858,1.07E-08
21.92604,7.31E-09
21.9735,2.37E-09
22.02096,1.19E-08
22.06842,6.22E-09
22.11588,1.45E-09
22.16334,5.70E-09
22.2108,8.09E-09
22.25826,1.13E-09
22.30571,2.80E-09
22.35317,2.56E-09
22.40063,2.05E-09
22.44809,4.24E-10
22.49555,8.81E-09
22.54301,2.32E-09
22.59047,1.79E-09
22.63793,3.66E-10
22.68539,5.81E-09
22.73285,9.10E-10
22.7803,2.23E-09
22.82776,6.08E-09
22.87522,8.94E-09
