file,id,type,date,displaydateDOY,hour,minute,timeH,temperatureC,DewpointC +/- 0.2,relative humidity (%),boutID,sample,freq,eyespots,rectrixL,trainL,traindate,displaydate,traindateDOY
GOPR1444,juvenile5,juvenile,3/15/15,NA,8,34,8.566666667,23.3,4.2,28.9,juvenile5_GOPR1444,peak,26.35,NA,NA,NA,NA,NA,NA
GOPR1444,juvenile5,juvenile,3/15/15,NA,8,34,8.566666667,23.3,4.2,28.9,juvenile5_GOPR1444,post,26.06086957,NA,NA,NA,NA,NA,NA
GOPR1444,juvenile5,juvenile,3/15/15,NA,8,34,8.566666667,23.3,4.2,28.9,juvenile5_GOPR1444,pre,26.64,NA,NA,NA,NA,NA,NA
GOPR1997,juvenile5,juvenile,3/22/15,NA,9,43,9.716666667,17.2,11.6,69.6,juvenile5_GOPR1997,peak,25.24,NA,NA,NA,NA,NA,NA
GOPR1997,juvenile5,juvenile,3/22/15,NA,9,43,9.716666667,17.2,11.6,69.6,juvenile5_GOPR1997,post,23.50588235,NA,NA,NA,NA,NA,NA
GOPR1997,juvenile5,juvenile,3/22/15,NA,9,43,9.716666667,17.2,11.6,69.6,juvenile5_GOPR1997,pre,25.23789474,NA,NA,NA,NA,NA,NA
GOPR1998,juvenile5,juvenile,3/22/15,NA,9,44,9.733333333,17.2,11.6,69.6,juvenile5_GOPR1998,peak,27.56,NA,NA,NA,NA,NA,NA
GOPR1998,juvenile5,juvenile,3/22/15,NA,9,44,9.733333333,17.2,11.6,69.6,juvenile5_GOPR1998,post,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1998,juvenile5,juvenile,3/22/15,NA,9,44,9.733333333,17.2,11.6,69.6,juvenile5_GOPR1998,pre,25.78064516,NA,NA,NA,NA,NA,NA
GOPR0055,juvenile6,juvenile,03-10-15,NA,17,7,17.11666667,22.2,2,26.4,juvenile6_GOPR0055,peak,24.47,NA,NA,NA,NA,NA,NA
GOPR0055,juvenile6,juvenile,03-10-15,NA,17,7,17.11666667,22.2,2,26.4,juvenile6_GOPR0055,post,24.46530612,NA,NA,NA,NA,NA,NA
GOPR0055,juvenile6,juvenile,03-10-15,NA,17,7,17.11666667,22.2,2,26.4,juvenile6_GOPR0055,pre,25.23789474,NA,NA,NA,NA,NA,NA
GOPR1944,juvenile6,juvenile,3/21/15,NA,17,52,17.86666667,19.4,12.5,64.4,juvenile6_GOPR1944,peak,25.51,NA,NA,NA,NA,NA,NA
GOPR1944,juvenile6,juvenile,3/21/15,NA,17,52,17.86666667,19.4,12.5,64.4,juvenile6_GOPR1944,post,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1944,juvenile6,juvenile,3/21/15,NA,17,52,17.86666667,19.4,12.5,64.4,juvenile6_GOPR1944,pre,27.24545455,NA,NA,NA,NA,NA,NA
GOPR1945,juvenile6,juvenile,3/21/15,NA,17,54,17.9,19.4,12.5,64.4,juvenile6_GOPR1945,peak,25.51,NA,NA,NA,NA,NA,NA
GOPR1945,juvenile6,juvenile,3/21/15,NA,17,54,17.9,19.4,12.5,64.4,juvenile6_GOPR1945,post,24.71752577,NA,NA,NA,NA,NA,NA
GOPR1945,juvenile6,juvenile,3/21/15,NA,17,54,17.9,19.4,12.5,64.4,juvenile6_GOPR1945,pre,25.23789474,NA,NA,NA,NA,NA,NA
GOPR1946,juvenile6,juvenile,3/21/15,NA,17,55,17.91666667,19.4,12.5,64.4,juvenile6_GOPR1946,peak,24.22,NA,NA,NA,NA,NA,NA
GOPR1946,juvenile6,juvenile,3/21/15,NA,17,55,17.91666667,19.4,12.5,64.4,juvenile6_GOPR1946,post,23.2776699,NA,NA,NA,NA,NA,NA
GOPR1946,juvenile6,juvenile,3/21/15,NA,17,55,17.91666667,19.4,12.5,64.4,juvenile6_GOPR1946,pre,24.975,NA,NA,NA,NA,NA,NA
GOPR1854,juvenile7,juvenile,3/21/15,NA,7,50,7.833333333,17.2,10.8,66.1,juvenile7_GOPR1854,peak,23.98,NA,NA,NA,NA,NA,NA
GOPR1854,juvenile7,juvenile,3/21/15,NA,7,50,7.833333333,17.2,10.8,66.1,juvenile7_GOPR1854,post,24.46530612,NA,NA,NA,NA,NA,NA
GOPR1854,juvenile7,juvenile,3/21/15,NA,7,50,7.833333333,17.2,10.8,66.1,juvenile7_GOPR1854,pre,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1855,juvenile7,juvenile,3/21/15,NA,7,52,7.866666667,17.2,10.8,66.1,juvenile7_GOPR1855,peak,25.78,NA,NA,NA,NA,NA,NA
GOPR1855,juvenile7,juvenile,3/21/15,NA,7,52,7.866666667,17.2,10.8,66.1,juvenile7_GOPR1855,post,23.50588235,NA,NA,NA,NA,NA,NA
GOPR1855,juvenile7,juvenile,3/21/15,NA,7,52,7.866666667,17.2,10.8,66.1,juvenile7_GOPR1855,pre,24.21818182,NA,NA,NA,NA,NA,NA
GOPR1848,juvenile8,juvenile,3/21/15,NA,7,38,7.633333333,17.2,10.8,66.1,juvenile8_GOPR1848,peak,25.51,NA,NA,NA,NA,NA,NA
GOPR1848,juvenile8,juvenile,3/21/15,NA,7,38,7.633333333,17.2,10.8,66.1,juvenile8_GOPR1848,post,25.50638298,NA,NA,NA,NA,NA,NA
GOPR1848,juvenile8,juvenile,3/21/15,NA,7,38,7.633333333,17.2,10.8,66.1,juvenile8_GOPR1848,pre,25.78064516,NA,NA,NA,NA,NA,NA
GOPR1849,juvenile8,juvenile,3/21/15,NA,7,40,7.666666667,17.2,10.8,66.1,juvenile8_GOPR1849,peak,24.72,NA,NA,NA,NA,NA,NA
GOPR1849,juvenile8,juvenile,3/21/15,NA,7,40,7.666666667,17.2,10.8,66.1,juvenile8_GOPR1849,post,24.46530612,NA,NA,NA,NA,NA,NA
GOPR1849,juvenile8,juvenile,3/21/15,NA,7,40,7.666666667,17.2,10.8,66.1,juvenile8_GOPR1849,pre,25.23789474,NA,NA,NA,NA,NA,NA
GOPR1741,juvenile9,juvenile,3/20/15,NA,7,54,7.9,16.7,9.7,63.3,juvenile9_GOPR1741,peak,27.25,NA,NA,NA,NA,NA,NA
GOPR1741,juvenile9,juvenile,3/20/15,NA,7,54,7.9,16.7,9.7,63.3,juvenile9_GOPR1741,post,26.93932584,NA,NA,NA,NA,NA,NA
