frequency (Hz),transfer function (arb. units),fit,Crest 1
20.53513,2.86039,2.72607,
20.55889,2.86234,2.73589,
20.58265,2.86181,2.74578,
20.6064,2.85899,2.75575,
20.63016,2.8582,2.76579,
20.65391,2.85856,2.77592,
20.67767,2.85754,2.78612,
20.70143,2.85671,2.7964,
20.72518,2.86015,2.80675,
20.74894,2.86433,2.81719,
20.77269,2.86644,2.82771,
20.79645,2.86898,2.83832,
20.82021,2.87508,2.849,
20.84396,2.88006,2.85977,
20.86772,2.88355,2.87063,
20.89147,2.88886,2.88157,
20.91523,2.89684,2.89259,
20.93898,2.90443,2.90371,
20.96274,2.91211,2.91491,
20.9865,2.92109,2.9262,
21.01025,2.93096,2.93758,
21.03401,2.94058,2.94905,
21.05776,2.94919,2.96061,
21.08152,2.95685,2.97227,
21.10528,2.96501,2.98402,
21.12903,2.97466,2.99586,
21.15279,2.98231,3.0078,
21.17654,2.98893,3.01984,
21.2003,2.99781,3.03197,
21.22406,3.00847,3.0442,
21.24781,3.0152,3.05654,
21.27157,3.02181,3.06897,
21.29532,3.03102,3.0815,
21.31908,3.03955,3.09414,
21.34284,3.04396,3.10688,
21.36659,3.05139,3.11972,
21.39035,3.06155,3.13267,
21.4141,3.07017,3.14573,
21.43786,3.07741,3.15889,
21.46162,3.08869,3.17217,
21.48537,3.10129,3.18555,
21.50913,3.11266,3.19904,
21.53288,3.124,3.21265,
21.55664,3.13688,3.22637,
21.5804,3.14916,3.24021,
21.60415,3.16077,3.25416,
21.62791,3.17206,3.26822,
21.65166,3.18312,3.28241,
21.67542,3.19545,3.29671,
21.69917,3.2071,3.31113,
21.72293,3.21754,3.32568,
21.74669,3.22944,3.34035,
21.77044,3.24439,3.35514,
21.7942,3.25724,3.37005,
21.81795,3.26935,3.38509,
21.84171,3.28424,3.40026,
21.86547,3.30042,3.41556,
21.88922,3.3143,3.43099,
21.91298,3.3303,3.44655,
21.93673,3.34964,3.46224,
21.96049,3.36814,3.47806,
21.98425,3.38537,3.49402,
22.008,3.40608,3.51011,
22.03176,3.42799,3.52635,
22.05551,3.44825,3.54272,
22.07927,3.469,3.55922,
22.10303,3.49059,3.57587,
22.12678,3.51074,3.59267,
22.15054,3.52977,3.6096,
22.17429,3.54952,3.62668,
22.19805,3.56982,3.6439,
22.22181,3.59021,3.66128,
22.24556,3.61096,3.6788,
22.26932,3.63262,3.69646,
