Frequency (Hz),FFT power (arb. units),"Crest 13 (female), 25.0 Hz, 30 cm distance",Frequency (Hz),Fit to Lorentzian shown 
,,,28.36569,1.14E-05
,,,28.48538,1.16E-05
,,,28.60507,1.18E-05
,,,28.72475,1.20E-05
,,,28.84444,1.23E-05
,,,28.96413,1.26E-05
,,,29.08381,1.28E-05
,,,29.2035,1.31E-05
,,,29.32319,1.34E-05
,,,29.44287,1.38E-05
,,,29.56256,1.41E-05
,,,29.68225,1.45E-05
,,,29.80193,1.49E-05
,,,29.92162,1.54E-05
,,,30.0413,1.59E-05
,,,30.16099,1.64E-05
,,,30.28068,1.70E-05
,,,30.40036,1.76E-05
,,,30.52005,1.83E-05
,,,30.63974,1.90E-05
,,,30.75942,1.98E-05
,,,30.87911,2.07E-05
,,,30.9988,2.17E-05
,,,31.11848,2.28E-05
,,,31.23817,2.40E-05
,,,31.35786,2.53E-05
,,,31.47754,2.68E-05
,,,31.59723,2.84E-05
,,,31.71692,3.03E-05
,,,31.8366,3.24E-05
,,,31.95629,3.47E-05
,,,32.07597,3.74E-05
,,,32.19566,4.05E-05
,,,32.31535,4.41E-05
,,,32.43503,4.83E-05
,,,32.55472,5.31E-05
,,,32.67441,5.88E-05
,,,32.79409,6.55E-05
,,,32.91378,7.35E-05
,,,33.03347,8.31E-05
,,,33.15315,9.47E-05
,,,33.27284,1.09E-04
,,,33.39253,1.26E-04
,,,33.51221,1.48E-04
,,,33.6319,1.75E-04
,,,33.75159,2.08E-04
,,,33.87127,2.48E-04
,,,33.99096,2.94E-04
,,,34.11064,3.45E-04
,,,34.23033,3.94E-04
,,,34.35002,4.32E-04
,,,34.4697,4.46E-04
,,,34.58939,4.32E-04
,,,34.70908,3.95E-04
,,,34.82876,3.46E-04
,,,34.94845,2.95E-04
,,,35.06814,2.48E-04
,,,35.18782,2.08E-04
,,,35.30751,1.75E-04
,,,35.4272,1.48E-04
,,,35.54688,1.27E-04
,,,35.66657,1.09E-04
,,,35.78626,9.49E-05
,,,35.90594,8.33E-05
,,,36.02563,7.36E-05
,,,36.14531,6.56E-05
,,,36.265,5.89E-05
,,,36.38469,5.32E-05
,,,36.50437,4.83E-05
,,,36.62406,4.42E-05
,,,36.74375,4.06E-05
,,,36.86343,3.75E-05
,,,36.98312,3.48E-05
,,,37.10281,3.24E-05
,,,37.22249,3.03E-05
,,,37.34218,2.84E-05
,,,37.46187,2.68E-05
,,,37.58155,2.53E-05
,,,37.70124,2.40E-05
,,,37.82093,2.28E-05
,,,37.94061,2.17E-05
,,,38.0603,2.07E-05
,,,38.17999,1.98E-05
,,,38.29967,1.90E-05
,,,38.41936,1.83E-05
,,,38.53904,1.76E-05
,,,38.65873,1.70E-05
,,,38.77842,1.64E-05
,,,38.8981,1.59E-05
,,,39.01779,1.54E-05
,,,39.13748,1.50E-05
,,,39.25716,1.45E-05
,,,39.37685,1.41E-05
,,,39.49654,1.38E-05
,,,39.61622,1.34E-05
,,,39.73591,1.31E-05
,,,39.8556,1.28E-05
,,,39.97528,1.26E-05
,,,40.09497,1.23E-05
,,,40.21466,1.21E-05
,,,40.33434,1.18E-05
,,,40.45403,1.16E-05
,,,40.57371,1.14E-05
,,,40.6934,1.12E-05
,,,40.81309,1.10E-05
,,,40.93277,1.09E-05
,,,41.05246,1.07E-05
,,,41.17215,1.05E-05
,,,41.29183,1.04E-05
,,,41.41152,1.03E-05
,,,41.53121,1.01E-05
,,,41.65089,1.00E-05
,,,41.77058,9.88E-06
,,,41.89027,9.77E-06
,,,42.00995,9.66E-06
,,,42.12964,9.55E-06
,,,42.24933,9.46E-06
,,,42.36901,9.36E-06
,,,42.4887,9.27E-06
,,,42.60838,9.19E-06
,,,42.72807,9.10E-06
,,,42.84776,9.02E-06
,,,42.96744,8.95E-06
,,,43.08713,8.88E-06
,,,43.20682,8.81E-06
,,,43.3265,8.74E-06
,,,43.44619,8.67E-06
,,,43.56588,8.61E-06
,,,43.68556,8.55E-06
,,,43.80525,8.50E-06
,,,43.92494,8.44E-06
,,,44.04462,8.39E-06
,,,44.16431,8.34E-06
,,,44.284,8.29E-06
,,,44.40368,8.24E-06
,,,44.52337,8.20E-06
,,,44.64305,8.15E-06
,,,44.76274,8.11E-06
,,,44.88243,8.07E-06
,,,45.00211,8.03E-06
,,,45.1218,7.99E-06
,,,45.24149,7.95E-06
,,,45.36117,7.92E-06
,,,45.48086,7.88E-06
,,,45.60055,7.85E-06
,,,45.72023,7.82E-06
,,,45.83992,7.78E-06
,,,45.95961,7.75E-06
,,,46.07929,7.72E-06
,,,46.19898,7.69E-06
,,,46.31867,7.67E-06
,,,46.43835,7.64E-06
,,,46.55804,7.61E-06
,,,46.67772,7.59E-06
,,,46.79741,7.56E-06
,,,46.9171,7.54E-06
,,,47.03678,7.52E-06
,,,47.15647,7.49E-06
,,,47.27616,7.47E-06
,,,47.39584,7.45E-06
,,,47.51553,7.43E-06
,,,47.63522,7.41E-06
,,,47.7549,7.39E-06
,,,47.87459,7.37E-06
,,,47.99428,7.35E-06
,,,48.11396,7.33E-06
,,,48.23365,7.31E-06
,,,48.35334,7.30E-06
,,,48.47302,7.28E-06
,,,48.59271,7.26E-06
,,,48.71239,7.25E-06
,,,48.83208,7.23E-06
,,,48.95177,7.22E-06
,,,49.07145,7.20E-06
,,,49.19114,7.19E-06
,,,49.31083,7.17E-06
,,,49.43051,7.16E-06
,,,49.5502,7.15E-06
,,,49.66989,7.13E-06
,,,49.78957,7.12E-06
,,,49.90926,7.11E-06
,,,50.02895,7.09E-06
,,,50.14863,7.08E-06
,,,50.26832,7.07E-06
,,,50.38801,7.06E-06
,,,50.50769,7.05E-06
,,,50.62738,7.04E-06
,,,50.74706,7.03E-06
,,,50.86675,7.02E-06
,,,50.98644,7.01E-06
,,,51.10612,7.00E-06
,,,51.22581,6.99E-06
,,,51.3455,6.98E-06
,,,51.46518,6.97E-06
,,,51.58487,6.96E-06
,,,51.70456,6.95E-06
,,,51.82424,6.94E-06
,,,51.94393,6.93E-06
,,,52.06362,6.92E-06
,,,52.1833,6.91E-06
,,,52.30299,6.91E-06
,,,52.42268,6.90E-06
,,,52.54236,6.89E-06
,,,52.66205,6.88E-06
,,,52.78173,6.87E-06
,,,52.90142,6.87E-06
,,,53.02111,6.86E-06
,,,53.14079,6.85E-06
,,,53.26048,6.85E-06
,,,53.38017,6.84E-06
,,,53.49985,6.83E-06
,,,53.61954,6.83E-06
,,,53.73923,6.82E-06
,,,53.85891,6.81E-06
,,,53.9786,6.81E-06
,,,54.09829,6.80E-06
,,,54.21797,6.79E-06
,,,54.33766,6.79E-06
,,,54.45735,6.78E-06
,,,54.57703,6.78E-06
,,,54.69672,6.77E-06
,,,54.8164,6.77E-06
,,,54.93609,6.76E-06
,,,55.05578,6.76E-06
,,,55.17546,6.75E-06
,,,55.29515,6.74E-06
,,,55.41484,6.74E-06
,,,55.53452,6.73E-06
,,,55.65421,6.73E-06
,,,55.7739,6.73E-06
,,,55.89358,6.72E-06
,,,56.01327,6.72E-06
,,,56.13296,6.71E-06
,,,56.25264,6.71E-06
,,,56.37233,6.70E-06
,,,56.49202,6.70E-06
,,,56.6117,6.69E-06
,,,56.73139,6.69E-06
,,,56.85107,6.69E-06
,,,56.97076,6.68E-06
,,,57.09045,6.68E-06
,,,57.21013,6.67E-06
,,,57.32982,6.67E-06
,,,57.44951,6.67E-06
,,,57.56919,6.66E-06
,,,57.68888,6.66E-06
,,,57.80857,6.65E-06
,,,57.92825,6.65E-06
,,,58.04794,6.65E-06
,,,58.16763,6.64E-06
,,,58.28731,6.64E-06
,,,58.407,6.64E-06
,,,58.52669,6.63E-06
,,,58.64637,6.63E-06
,,,58.76606,6.63E-06
,,,58.88574,6.62E-06
,,,59.00543,6.62E-06
,,,59.12512,6.62E-06
,,,59.2448,6.61E-06
,,,59.36449,6.61E-06
,,,59.48418,6.61E-06
,,,59.60386,6.61E-06
,,,59.72355,6.60E-06
,,,59.84324,6.60E-06
,,,59.96292,6.60E-06
,,,60.08261,6.59E-06
,,,60.2023,6.59E-06
,,,60.32198,6.59E-06
,,,60.44167,6.59E-06
,,,60.56136,6.58E-06
,,,60.68104,6.58E-06
,,,60.80073,6.58E-06
,,,60.92041,6.58E-06
,,,61.0401,6.57E-06
,,,61.15979,6.57E-06
,,,61.27947,6.57E-06
,,,61.39916,6.57E-06
,,,61.51885,6.56E-06
,,,61.63853,6.56E-06
,,,61.75822,6.56E-06
,,,61.87791,6.56E-06
,,,61.99759,6.56E-06
,,,62.11728,6.55E-06
,,,62.23697,6.55E-06
,,,62.35665,6.55E-06
,,,62.47634,6.55E-06
,,,62.59603,6.54E-06
,,,62.71571,6.54E-06
,,,62.8354,6.54E-06
,,,62.95509,6.54E-06
,,,63.07477,6.54E-06
,,,63.19446,6.53E-06
,,,63.31414,6.53E-06
,,,63.43383,6.53E-06
,,,63.55352,6.53E-06
,,,63.6732,6.53E-06
,,,63.79289,6.53E-06
,,,63.91258,6.52E-06
,,,64.03226,6.52E-06
,,,64.15195,6.52E-06
,,,64.27164,6.52E-06
,,,64.39132,6.52E-06
,,,64.51101,6.51E-06
,,,64.6307,6.51E-06
,,,64.75038,6.51E-06
,,,64.87007,6.51E-06
,,,64.98976,6.51E-06
,,,65.10944,6.51E-06
,,,65.22913,6.51E-06
,,,65.34881,6.50E-06
,,,65.4685,6.50E-06
,,,65.58819,6.50E-06
,,,65.70787,6.50E-06
,,,65.82756,6.50E-06
,,,65.94725,6.50E-06
,,,66.06693,6.49E-06
,,,66.18662,6.49E-06
,,,66.30631,6.49E-06
,,,66.42599,6.49E-06
,,,66.54568,6.49E-06
,,,66.66537,6.49E-06
,,,66.78505,6.49E-06
,,,66.90474,6.48E-06
,,,67.02443,6.48E-06
,,,67.14411,6.48E-06
,,,67.2638,6.48E-06
,,,67.38348,6.48E-06
,,,67.50317,6.48E-06
,,,67.62286,6.48E-06
,,,67.74254,6.48E-06
,,,67.86223,6.47E-06
,,,67.98192,6.47E-06
,,,68.1016,6.47E-06
,,,68.22129,6.47E-06
,,,68.34098,6.47E-06
,,,68.46066,6.47E-06
,,,68.58035,6.47E-06
,,,68.70004,6.47E-06
,,,68.81972,6.46E-06
,,,68.93941,6.46E-06
,,,69.0591,6.46E-06
,,,69.17878,6.46E-06
,,,69.29847,6.46E-06
,,,69.41815,6.46E-06
,,,69.53784,6.46E-06
,,,69.65753,6.46E-06
,,,69.77721,6.46E-06
,,,69.8969,6.46E-06
,,,70.01659,6.45E-06
,,,70.13627,6.45E-06
,,,70.25596,6.45E-06
,,,70.37565,6.45E-06
,,,70.49533,6.45E-06
,,,70.61502,6.45E-06
,,,70.73471,6.45E-06
,,,70.85439,6.45E-06
,,,70.97408,6.45E-06
,,,71.09377,6.45E-06
,,,71.21345,6.44E-06
,,,71.33314,6.44E-06
,,,71.45282,6.44E-06
,,,71.57251,6.44E-06
,,,71.6922,6.44E-06
,,,71.81188,6.44E-06
,,,71.93157,6.44E-06
,,,72.05126,6.44E-06
,,,72.17094,6.44E-06
,,,72.29063,6.44E-06
,,,72.41032,6.44E-06
,,,72.53,6.43E-06
,,,72.64969,6.43E-06
,,,72.76938,6.43E-06
,,,72.88906,6.43E-06
,,,73.00875,6.43E-06
,,,73.12844,6.43E-06
,,,73.24812,6.43E-06
,,,73.36781,6.43E-06
,,,73.48749,6.43E-06
,,,73.60718,6.43E-06
,,,73.72687,6.43E-06
,,,73.84655,6.43E-06
,,,73.96624,6.43E-06
,,,74.08593,6.42E-06
,,,74.20561,6.42E-06
,,,74.3253,6.42E-06
,,,74.44499,6.42E-06
,,,74.56467,6.42E-06
,,,74.68436,6.42E-06
,,,74.80405,6.42E-06
,,,74.92373,6.42E-06
,,,75.04342,6.42E-06
,,,75.16311,6.42E-06
,,,75.28279,6.42E-06
,,,75.40248,6.42E-06
,,,75.52216,6.42E-06
,,,75.64185,6.42E-06
,,,75.76154,6.41E-06
,,,75.88122,6.41E-06
,,,76.00091,6.41E-06
,,,76.1206,6.41E-06
,,,76.24028,6.41E-06
,,,76.35997,6.41E-06
,,,76.47966,6.41E-06
,,,76.59934,6.41E-06
,,,76.71903,6.41E-06
,,,76.83872,6.41E-06
,,,76.9584,6.41E-06
,,,77.07809,6.41E-06
,,,77.19778,6.41E-06
,,,77.31746,6.41E-06
,,,77.43715,6.41E-06
,,,77.55683,6.41E-06
,,,77.67652,6.40E-06
,,,77.79621,6.40E-06
,,,77.91589,6.40E-06
,,,78.03558,6.40E-06
,,,78.15527,6.40E-06
,,,78.27495,6.40E-06
,,,78.39464,6.40E-06
,,,78.51433,6.40E-06
,,,78.63401,6.40E-06
,,,78.7537,6.40E-06
,,,78.87339,6.40E-06
,,,78.99307,6.40E-06
,,,79.11276,6.40E-06
,,,79.23245,6.40E-06
,,,79.35213,6.40E-06
,,,79.47182,6.40E-06
,,,79.5915,6.40E-06
,,,79.71119,6.40E-06
,,,79.83088,6.40E-06
,,,79.95056,6.39E-06
,,,80.07025,6.39E-06
,,,80.18994,6.39E-06
,,,80.30962,6.39E-06
,,,80.42931,6.39E-06
,,,80.549,6.39E-06
,,,80.66868,6.39E-06
,,,80.78837,6.39E-06
,,,80.90806,6.39E-06
,,,81.02774,6.39E-06
,,,81.14743,6.39E-06
,,,81.26712,6.39E-06
,,,81.3868,6.39E-06
,,,81.50649,6.39E-06
,,,81.62617,6.39E-06
,,,81.74586,6.39E-06
,,,81.86555,6.39E-06
