frequency_Hz,FFT_power,crest,playback_track,blocked
83,3.29E-05,crest_08,file_1006,yes
84,3.85E-04,crest_08,file_1006,yes
85,0.00153,crest_08,file_1006,yes
86,0.00174,crest_08,file_1006,yes
87,6.83E-04,crest_08,file_1006,yes
88,5.07E-04,crest_08,file_1006,yes
89,0.00736,crest_08,file_1006,yes
90,7.38E-05,crest_08,file_1006,yes
91,0.00111,crest_08,file_1006,yes
92,0.00261,crest_08,file_1006,yes
93,4.79E-04,crest_08,file_1006,yes
94,2.52E-04,crest_08,file_1006,yes
95,3.69E-04,crest_08,file_1006,yes
96,4.64E-04,crest_08,file_1006,yes
97,6.82E-04,crest_08,file_1006,yes
98,0.00422,crest_08,file_1006,yes
99,0.00125,crest_08,file_1006,yes
100,0.00144,crest_08,file_1006,yes
101,6.33E-04,crest_08,file_1006,yes
102,0.00296,crest_08,file_1006,yes
103,8.02E-04,crest_08,file_1006,yes
104,0.00334,crest_08,file_1006,yes
105,0.00331,crest_08,file_1006,yes
106,8.67E-04,crest_08,file_1006,yes
107,5.26E-04,crest_08,file_1006,yes
108,0.00192,crest_08,file_1006,yes
109,0.002,crest_08,file_1006,yes
110,9.49E-04,crest_08,file_1006,yes
111,0.00137,crest_08,file_1006,yes
112,8.97E-04,crest_08,file_1006,yes
113,0.00142,crest_08,file_1006,yes
114,0.00279,crest_08,file_1006,yes
115,6.21E-04,crest_08,file_1006,yes
116,0.00198,crest_08,file_1006,yes
117,2.81E-04,crest_08,file_1006,yes
118,8.26E-04,crest_08,file_1006,yes
119,0.00519,crest_08,file_1006,yes
120,0.01041,crest_08,file_1006,yes
0,5.35E-36,crest_08,white_noise,no
1,0.03859,crest_08,white_noise,no
2,0.0507,crest_08,white_noise,no
3,0.00427,crest_08,white_noise,no
4,0.00108,crest_08,white_noise,no
5,0.01378,crest_08,white_noise,no
6,0.00129,crest_08,white_noise,no
7,0.00717,crest_08,white_noise,no
8,0.00958,crest_08,white_noise,no
9,0.00481,crest_08,white_noise,no
10,0.00257,crest_08,white_noise,no
11,0.00166,crest_08,white_noise,no
12,0.00156,crest_08,white_noise,no
13,0.00778,crest_08,white_noise,no
14,2.08E-04,crest_08,white_noise,no
15,5.58E-04,crest_08,white_noise,no
16,0.00201,crest_08,white_noise,no
17,0.00248,crest_08,white_noise,no
18,2.70E-04,crest_08,white_noise,no
19,0.00319,crest_08,white_noise,no
20,5.19E-04,crest_08,white_noise,no
21,0.00432,crest_08,white_noise,no
22,1.23E-06,crest_08,white_noise,no
23,0.00164,crest_08,white_noise,no
24,2.08E-04,crest_08,white_noise,no
25,8.19E-04,crest_08,white_noise,no
26,4.32E-04,crest_08,white_noise,no
27,3.87E-04,crest_08,white_noise,no
28,7.77E-04,crest_08,white_noise,no
29,5.72E-04,crest_08,white_noise,no
30,0.00291,crest_08,white_noise,no
31,0.00285,crest_08,white_noise,no
32,6.44E-04,crest_08,white_noise,no
33,3.27E-04,crest_08,white_noise,no
34,0.00125,crest_08,white_noise,no
35,0.00127,crest_08,white_noise,no
36,0.00254,crest_08,white_noise,no
37,0.00192,crest_08,white_noise,no
38,0.00112,crest_08,white_noise,no
39,0.00107,crest_08,white_noise,no
40,6.34E-04,crest_08,white_noise,no
41,0.00266,crest_08,white_noise,no
42,2.11E-04,crest_08,white_noise,no
43,7.69E-04,crest_08,white_noise,no
44,4.39E-04,crest_08,white_noise,no
45,0.00202,crest_08,white_noise,no
46,0.00136,crest_08,white_noise,no
47,0.00136,crest_08,white_noise,no
48,0.00111,crest_08,white_noise,no
49,2.50E-04,crest_08,white_noise,no
50,5.87E-04,crest_08,white_noise,no
51,6.97E-04,crest_08,white_noise,no
52,0.00136,crest_08,white_noise,no
53,5.42E-04,crest_08,white_noise,no
54,2.82E-04,crest_08,white_noise,no
55,3.76E-04,crest_08,white_noise,no
56,0.00113,crest_08,white_noise,no
57,4.91E-04,crest_08,white_noise,no
58,4.37E-04,crest_08,white_noise,no
59,8.86E-04,crest_08,white_noise,no
60,6.68E-05,crest_08,white_noise,no
61,6.25E-04,crest_08,white_noise,no
62,9.18E-04,crest_08,white_noise,no
63,1.58E-06,crest_08,white_noise,no
64,4.41E-04,crest_08,white_noise,no
65,0.00126,crest_08,white_noise,no
66,3.94E-05,crest_08,white_noise,no
67,3.70E-04,crest_08,white_noise,no
68,9.54E-05,crest_08,white_noise,no
69,8.11E-04,crest_08,white_noise,no
70,4.15E-04,crest_08,white_noise,no
71,0.00112,crest_08,white_noise,no
72,7.73E-04,crest_08,white_noise,no
73,2.69E-04,crest_08,white_noise,no
74,5.22E-04,crest_08,white_noise,no
75,4.88E-04,crest_08,white_noise,no
76,3.16E-04,crest_08,white_noise,no
77,2.74E-04,crest_08,white_noise,no
78,7.50E-04,crest_08,white_noise,no
79,3.48E-05,crest_08,white_noise,no
80,2.11E-04,crest_08,white_noise,no
81,3.35E-04,crest_08,white_noise,no
82,0.00158,crest_08,white_noise,no
83,7.04E-05,crest_08,white_noise,no
